vessel_id,vessel_type,month,speed_knots,course_change_deg,distance_to_route_nm,draught_m,wind_speed_knots,visibility_nm,traffic_density,signal_gap_minutes,anomaly
V02782,container,3,11.7,0.44,25.96,5.08,6.32,9.99,0.4724,2.29,0
V02783,container,1,12.2,14.34,21.49,4.39,2.52,11.89,0.471,0.73,0
V02784,container,2,9.93,6.01,4.86,6.32,5.05,12.3,0.6312,8.87,0
V02785,container,5,10.21,3.02,29.35,5.7,13.2,7.63,0.794,3.66,0
V02786,tanker,8,5.83,3.4,5.4,6.78,18.38,6.45,0.1407,0.91,0
V02787,cargo,4,11.87,1.73,34.37,4.08,4.88,6.43,0.6395,4.53,0
V02788,container,7,9.83,5.26,12.83,5.17,5.49,9.67,0.7948,2.9,0
V02789,container,11,6.38,3.55,12.65,8.35,11.76,5.38,0.6429,1.65,1
V02790,passenger,11,17.3,7.9,3.24,8.52,5.32,8.01,0.6401,1.13,1
V02791,tanker,3,11.05,3.24,9.78,8.6,5.0,9.64,0.801,2.01,0
V02792,container,5,9.82,9.6,7.9,9.49,8.6,5.49,0.0538,1.17,0
V02793,passenger,5,12.12,5.98,9.05,9.13,8.42,5.41,0.7008,3.14,0
V02794,cargo,9,15.85,10.22,17.63,5.84,25.77,8.92,0.615,3.13,0
V02795,cargo,3,13.72,5.5,3.77,8.09,3.53,6.89,0.3839,1.71,0
V02796,tanker,7,12.63,5.93,7.46,6.75,10.41,3.91,0.3044,0.78,0
V02797,cargo,8,8.27,0.37,10.66,5.33,7.11,6.91,0.1555,3.41,0
V02798,cargo,11,10.42,6.95,5.36,5.88,21.61,9.64,0.419,1.92,0
V02799,container,11,15.16,7.57,11.32,4.52,7.4,15.0,0.5433,2.82,0
V02800,container,12,12.34,5.51,11.8,8.46,12.5,6.13,0.6431,3.48,0
V02801,tanker,4,12.99,17.69,13.71,4.47,5.5,5.68,0.8396,3.84,0
V02802,cargo,1,16.94,4.53,18.14,5.1,15.95,9.9,0.2342,0.73,0
V02803,cargo,1,15.62,1.94,32.81,6.41,3.54,7.47,0.3634,1.4,0
V02804,passenger,8,10.33,9.18,23.58,8.42,5.0,12.87,0.6135,4.55,0
V02805,container,6,15.22,4.98,6.39,7.12,12.26,9.74,0.3377,3.7,0
V02806,cargo,6,10.37,1.6,9.46,3.95,11.4,12.24,0.5757,3.55,0
V02807,container,1,1.75,4.49,3.68,5.12,7.45,5.77,0.7123,6.79,0
V02808,tanker,8,7.11,1.35,14.86,7.81,6.65,8.53,0.3231,0.18,0
V02809,passenger,8,5.91,6.04,5.12,9.92,10.25,9.56,0.5308,0.07,0
V02810,passenger,2,14.24,6.54,1.34,8.27,17.42,6.92,0.0998,8.18,0
V02811,passenger,5,7.55,7.5,9.98,6.34,7.78,7.89,0.7443,13.27,0
V02812,container,8,10.18,8.44,4.07,6.1,3.07,9.28,0.4931,10.02,0
V02813,tanker,4,7.42,2.55,4.25,6.99,2.98,6.11,0.4514,2.65,0
V02814,cargo,11,11.56,5.22,3.8,9.02,6.08,6.95,0.8099,10.48,0
V02815,tanker,4,8.96,1.12,3.27,6.47,4.94,8.47,0.4047,0.12,0
V02816,passenger,6,8.82,1.23,14.66,3.37,4.74,4.07,0.4422,1.32,0
V02817,cargo,10,10.11,11.64,15.36,4.85,3.02,10.61,0.4215,1.78,0
V02818,container,4,14.79,2.22,9.51,5.0,6.11,6.68,0.6064,5.9,0
V02819,tanker,2,19.26,4.64,20.21,8.21,6.52,5.81,0.4575,4.69,0
V02820,cargo,7,11.69,2.2,10.08,8.26,7.81,8.61,0.1365,6.12,0
V02821,container,2,12.75,4.14,8.58,5.8,10.95,8.95,0.7946,1.71,0
V02822,container,6,7.67,6.17,23.74,8.94,3.03,6.51,0.5616,17.31,0
V02823,tanker,8,12.63,1.9,6.76,5.67,9.54,11.6,0.6471,8.41,0
V02824,cargo,3,10.34,4.12,14.23,7.66,11.99,7.57,0.7744,4.66,0
V02825,cargo,1,14.94,1.41,17.16,10.84,8.42,0.3,0.4106,1.87,0
V02826,cargo,12,13.07,8.25,10.99,6.29,5.95,10.97,0.4172,18.35,0
V02827,container,5,12.96,1.18,4.23,7.75,11.73,4.95,0.1382,3.57,0
V02828,cargo,11,12.16,7.09,18.24,7.02,22.66,4.92,0.6795,0.26,0
V02829,tanker,11,10.57,11.23,4.9,8.28,8.36,8.5,0.9541,14.03,0
V02830,tanker,12,8.35,7.19,8.34,7.75,2.52,4.73,0.8088,2.7,0
V02831,cargo,4,10.59,5.52,13.55,8.66,5.41,4.4,0.259,8.15,0
V02832,tanker,3,12.89,7.73,3.99,9.74,8.75,11.08,0.5268,3.05,0
V02833,container,7,11.66,6.17,8.83,9.14,8.67,7.42,0.361,0.17,0
V02834,cargo,7,16.82,8.18,24.85,10.42,3.68,10.74,0.2254,9.62,0
V02835,container,1,12.41,13.88,8.87,10.32,3.21,6.41,0.4488,0.33,0
V02836,passenger,1,14.92,5.28,2.92,7.36,5.77,10.74,0.2605,7.53,0
V02837,cargo,1,7.32,1.98,21.37,4.77,6.18,2.45,0.8908,0.79,0
V02838,cargo,4,13.19,1.1,37.01,7.91,15.73,3.97,0.2259,0.3,0
V02839,container,7,13.44,6.87,13.48,8.45,15.33,13.96,0.3464,2.31,0
V02840,container,10,9.06,1.68,7.23,8.62,13.96,5.79,0.862,5.97,0
V02841,container,5,9.1,4.92,5.14,8.45,11.73,7.02,0.5769,0.1,1
V02842,cargo,4,11.51,5.02,13.48,5.97,8.42,13.57,0.7731,4.77,0
V02843,container,7,10.72,7.0,27.78,8.08,4.77,13.43,0.5932,4.69,0
V02844,cargo,8,12.98,12.87,36.0,7.17,13.13,8.81,0.1938,1.2,0
V02845,passenger,8,12.48,5.96,9.06,4.39,18.8,8.54,0.5164,3.11,0
V02846,container,5,14.37,2.23,13.46,6.87,8.36,6.94,0.6561,5.66,0
V02847,cargo,12,12.21,5.12,7.94,7.49,14.2,10.81,0.2407,4.12,0
V02848,cargo,2,13.69,0.4,17.81,6.83,6.87,11.74,0.1327,1.06,0
V02849,tanker,12,8.92,14.11,12.19,10.97,10.5,11.26,0.5888,1.34,0
V02850,cargo,12,12.19,1.62,9.74,9.42,7.4,11.39,0.7814,4.79,0
V02851,passenger,1,9.44,6.92,12.62,8.96,9.31,0.3,0.891,9.88,0
V02852,tanker,10,8.51,1.68,30.22,8.49,5.92,2.54,0.3448,8.0,0
V02853,container,8,4.64,3.71,4.8,11.71,20.07,9.08,0.4208,1.11,0
V02854,cargo,5,14.14,2.7,5.88,7.12,6.34,8.88,0.2285,6.38,0
V02855,cargo,11,9.1,4.94,17.3,8.78,4.74,8.88,0.0902,5.42,0
V02856,tanker,10,6.55,11.45,29.14,6.38,16.41,8.34,0.5068,7.25,1
V02857,container,2,9.32,10.17,1.89,7.92,3.78,8.53,0.6612,9.15,1
V02858,passenger,5,12.89,10.99,11.77,5.74,2.15,8.45,0.4745,9.82,0
V02859,cargo,2,7.94,2.78,23.49,8.62,4.82,3.67,0.5457,4.49,0
V02860,cargo,6,15.54,9.25,27.3,5.36,5.42,5.8,0.2139,3.73,0
V02861,tanker,10,11.44,4.94,11.62,7.79,10.41,9.39,0.5508,6.74,0
V02862,tanker,3,10.65,7.2,11.32,9.07,8.79,12.76,0.9686,1.16,0
V02863,cargo,10,9.43,6.15,19.43,4.6,4.22,14.1,0.3798,9.99,0
V02864,container,3,9.72,0.12,11.17,4.44,9.64,4.75,0.8444,3.41,0
V02865,cargo,6,16.13,5.7,11.81,6.28,0.6,7.35,0.3228,7.5,0
V02866,container,3,14.38,2.17,18.65,5.54,3.29,8.54,0.1561,7.2,0
V02867,passenger,1,15.14,4.2,33.51,7.24,1.7,6.61,0.1554,10.95,0
V02868,container,2,10.9,4.64,4.07,7.11,8.54,10.81,0.4803,0.94,0
V02869,passenger,1,17.21,2.11,9.16,8.53,9.45,10.9,0.8202,1.08,0
V02870,cargo,4,9.4,4.27,5.11,7.9,9.07,3.73,0.3732,5.71,0
V02871,cargo,8,10.26,5.52,3.25,5.09,10.41,11.39,0.4303,3.67,0
V02872,tanker,1,6.59,2.3,2.56,5.52,1.59,11.63,0.0409,5.67,0
V02873,container,2,10.22,8.49,6.06,7.33,0.78,9.72,0.0687,7.0,0
V02874,cargo,11,13.49,3.32,18.71,11.24,6.13,5.21,0.4104,6.04,0
V02875,tanker,6,6.79,8.94,73.27,12.75,20.4,5.9,0.7815,4.64,0
V02876,cargo,2,12.43,2.33,8.39,6.12,3.74,8.87,0.441,6.58,0
V02877,passenger,4,13.03,4.88,4.74,6.12,4.64,3.67,0.3395,8.32,0
V02878,cargo,11,14.35,8.35,11.43,6.55,6.46,8.36,0.6034,2.2,0
V02879,tanker,10,10.83,10.09,8.91,9.47,4.25,10.74,0.228,0.0,0
V02880,container,4,10.72,2.5,5.99,9.92,3.65,12.47,0.6377,0.48,0
V02881,tanker,3,13.77,4.68,4.12,6.61,9.33,6.68,0.7843,4.48,0
V02882,tanker,1,7.9,2.23,39.36,5.35,2.49,3.8,0.2874,1.03,1
V02883,container,11,11.11,0.61,14.21,6.47,15.4,3.61,0.8653,2.58,0
V02884,cargo,9,11.68,5.86,25.68,10.05,10.39,6.61,0.3263,0.07,0
V02885,container,10,9.25,3.5,4.22,5.89,24.56,10.18,0.7926,1.71,0
V02886,container,1,15.11,0.62,7.34,7.49,12.23,8.92,0.3376,0.16,0
V02887,cargo,10,16.5,4.04,4.87,6.82,2.38,7.83,0.6982,3.71,0
V02888,container,3,11.45,4.06,1.93,8.12,9.12,10.02,0.3559,6.15,0
V02889,tanker,10,5.51,3.47,12.62,7.67,14.1,8.97,0.4417,4.66,0
V02890,cargo,12,11.34,10.08,6.56,3.16,19.77,8.67,0.7381,0.19,0
V02891,cargo,3,12.24,10.41,36.18,11.27,10.85,9.11,0.4844,1.61,0
V02892,passenger,8,6.73,12.34,4.11,2.93,22.03,13.84,0.4958,3.2,0
V02893,passenger,1,12.37,7.68,7.6,8.65,7.96,8.22,0.4062,12.86,0
V02894,tanker,1,11.78,1.42,5.07,11.33,7.94,8.27,0.8327,14.95,1
V02895,container,3,11.32,3.59,10.29,6.95,5.39,12.9,0.7317,3.7,0
V02896,cargo,7,12.75,13.64,14.18,11.68,8.59,12.25,0.7261,4.01,0
V02897,cargo,3,14.89,6.05,6.98,7.64,21.2,6.97,0.578,8.38,0
V02898,cargo,9,10.62,3.14,29.41,6.91,4.69,12.31,0.2907,13.21,0
V02899,cargo,10,6.96,0.67,39.54,8.74,21.17,6.19,0.2733,1.72,0
V02900,cargo,5,11.21,7.3,36.18,10.55,1.86,8.73,0.691,1.55,0
V02901,cargo,2,13.94,10.99,19.37,6.11,10.33,6.79,0.8125,1.1,0
V02902,passenger,4,14.51,12.87,11.78,3.51,21.48,9.0,0.2359,2.56,0
V02903,passenger,6,9.11,1.57,6.54,3.85,20.19,9.36,0.8126,3.19,0
V02904,cargo,9,13.04,13.62,11.59,7.79,3.9,12.91,0.7348,7.8,0
V02905,cargo,11,8.9,4.25,5.22,7.18,11.64,9.38,0.2952,0.72,0
V02906,passenger,5,8.92,9.3,5.12,7.39,14.87,11.89,0.542,3.97,0
V02907,container,5,13.81,5.39,8.73,7.45,5.44,11.97,0.4573,6.91,0
V02908,tanker,7,10.37,0.63,7.15,4.96,19.89,5.11,0.3899,4.88,0
V02909,cargo,6,3.38,4.83,4.71,6.18,10.17,12.79,0.5264,1.28,0
V02910,tanker,6,10.18,0.09,6.55,10.52,7.36,9.57,0.5197,1.06,0
V02911,container,5,16.25,8.3,5.19,4.04,9.03,12.77,0.4006,1.28,0
V02912,cargo,4,10.68,0.1,7.46,7.61,13.29,5.98,0.377,2.82,0
V02913,container,11,14.78,13.72,35.76,7.36,27.06,11.76,0.955,17.77,1
V02914,container,2,16.44,3.27,3.56,4.78,14.02,6.88,0.1948,5.35,0
V02915,cargo,10,12.57,2.28,19.47,10.14,3.71,9.46,0.4376,3.5,0
V02916,tanker,4,7.22,5.26,12.76,6.33,9.15,4.86,0.6597,3.93,0
V02917,container,8,11.54,4.34,6.56,7.64,6.75,4.87,0.7829,0.99,0
V02918,container,10,10.65,1.72,9.56,6.77,6.82,15.0,0.3224,0.34,0
V02919,cargo,9,8.47,2.14,6.64,6.64,6.66,8.41,0.1293,10.21,0
V02920,passenger,6,10.41,8.42,6.68,6.84,17.25,6.5,0.4282,3.63,0
V02921,tanker,9,11.27,1.29,15.45,9.5,3.25,7.14,0.1208,6.28,0
V02922,container,2,11.55,4.99,13.89,10.82,2.88,8.04,0.568,14.89,0
V02923,container,4,10.1,0.89,13.34,7.88,9.68,14.94,0.4174,3.56,0
V02924,tanker,3,11.06,1.01,5.07,9.21,6.23,6.7,0.8831,9.16,0
V02925,tanker,8,19.19,4.27,9.61,5.45,12.89,8.61,0.467,0.42,0
V02926,cargo,1,15.05,1.58,6.74,7.5,6.63,10.24,0.1948,0.24,0
V02927,container,12,12.63,2.31,13.19,7.01,3.53,0.89,0.7561,2.45,0
V02928,cargo,7,7.03,6.86,15.03,8.61,10.77,7.61,0.397,2.48,0
V02929,container,7,8.15,7.59,12.72,8.79,2.28,9.64,0.4352,2.06,0
V02930,cargo,6,8.85,0.31,23.83,9.37,1.98,8.65,0.2618,9.5,0
V02931,container,2,13.95,2.19,13.88,4.96,16.57,8.12,0.498,0.11,0
V02932,tanker,1,18.86,6.79,12.49,4.73,5.97,6.42,0.3208,0.64,0
V02933,tanker,10,12.67,5.8,4.56,7.31,9.97,10.18,0.8661,1.13,0
V02934,cargo,3,12.25,5.01,14.55,6.53,12.32,9.67,0.2674,12.49,0
V02935,cargo,4,18.42,4.12,7.07,8.2,5.94,3.87,0.6565,1.02,1
V02936,cargo,3,13.36,2.82,11.88,7.86,4.07,11.28,0.4782,5.94,0
V02937,tanker,7,8.76,7.14,24.15,7.18,1.64,5.11,0.0816,2.0,0
V02938,cargo,9,11.21,1.62,6.61,6.63,4.98,8.02,0.2416,1.07,0
V02939,container,8,10.39,2.94,5.64,8.74,5.15,8.4,0.7036,3.09,0
V02940,container,2,2.65,2.6,5.02,11.14,8.98,11.11,0.693,1.42,1
V02941,cargo,12,16.14,9.34,1.99,5.29,4.11,6.0,0.4717,0.33,0
V02942,tanker,2,16.07,9.09,9.49,8.44,4.64,10.36,0.5674,4.74,0
V02943,container,1,9.99,7.99,4.41,9.22,25.31,7.45,0.2153,4.84,0
V02944,container,12,17.29,5.78,3.78,6.11,10.42,10.56,0.9088,1.26,0
V02945,container,12,15.62,12.16,10.39,8.88,36.8,9.77,0.7693,6.16,0
V02946,tanker,9,12.03,7.63,8.01,7.11,9.99,10.84,0.6556,4.65,0
V02947,cargo,11,9.0,1.99,9.16,10.71,3.3,11.33,0.4967,4.5,0
V02948,passenger,1,12.1,6.43,11.4,8.88,5.16,11.38,0.5986,0.34,1
V02949,container,5,11.0,5.15,7.76,4.15,2.83,7.93,0.4993,2.97,0
V02950,container,2,10.92,15.07,11.66,9.86,15.06,9.25,0.2599,1.28,0
V02951,tanker,5,4.64,7.5,4.93,1.61,12.99,8.71,0.6104,6.02,0
V02952,cargo,1,10.39,5.9,4.98,7.89,4.19,7.12,0.4366,0.43,0
V02953,container,3,2.9,3.1,26.65,4.11,27.55,3.12,0.9217,9.85,0
V02954,container,4,13.77,0.67,11.19,7.22,15.65,5.99,0.4336,11.36,0
V02955,tanker,1,12.23,6.57,15.7,6.55,2.82,7.01,0.6249,0.55,0
V02956,cargo,7,11.19,1.94,14.8,8.29,19.95,9.46,0.3252,6.27,0
V02957,container,12,15.1,1.83,7.09,6.33,9.94,6.21,0.6398,6.41,0
V02958,tanker,12,16.23,4.71,11.78,9.22,1.63,9.53,0.3441,3.33,0
V02959,cargo,6,3.1,7.32,7.32,4.72,6.53,6.17,0.8614,0.71,0
V02960,container,4,7.4,3.38,4.9,2.06,8.04,7.29,0.6129,3.15,0
V02961,passenger,10,9.28,0.57,35.45,6.4,4.1,8.33,0.6185,2.58,0
V02962,container,12,18.88,4.98,3.6,5.47,15.35,7.63,0.3975,4.74,0
V02963,passenger,11,10.55,4.11,9.32,3.25,5.94,5.81,0.6487,2.44,0
V02964,tanker,3,6.44,6.54,21.17,4.72,7.37,7.06,0.6372,1.02,0
V02965,cargo,4,9.84,4.58,24.34,7.78,9.71,6.83,0.0804,3.83,0
V02966,container,6,14.86,5.44,12.54,3.85,8.63,5.01,0.4906,0.51,0
V02967,cargo,10,10.77,0.03,2.25,11.32,6.13,6.97,0.5495,0.84,0
V02968,cargo,10,15.66,11.72,7.61,6.39,7.3,11.0,0.3888,2.54,0
V02969,cargo,3,9.88,0.28,8.38,8.27,2.93,10.29,0.8101,3.79,0
V02970,tanker,6,10.65,2.63,14.61,9.1,7.14,4.23,0.1815,4.09,0
V02971,container,7,5.76,3.57,13.39,7.89,8.99,8.37,0.8066,2.63,0
V02972,container,1,16.42,6.87,18.79,7.38,7.6,7.13,0.8665,1.42,0
V02973,passenger,3,12.26,3.64,10.07,6.32,5.18,10.95,0.476,20.7,0
V02974,container,12,12.71,3.77,19.3,7.68,6.2,9.13,0.1539,2.13,0
V02975,cargo,2,8.19,2.0,8.21,4.44,23.86,10.98,0.4031,1.16,0
V02976,cargo,8,7.27,0.72,24.28,6.18,12.34,2.97,0.8461,6.04,0
V02977,tanker,6,13.44,3.4,1.56,7.22,9.79,8.78,0.6688,4.55,0
V02978,container,11,9.31,4.76,7.44,8.95,2.76,5.94,0.3049,0.98,0
V02979,cargo,10,15.74,5.15,8.02,7.49,3.82,9.35,0.6062,18.48,0
V02980,tanker,2,10.61,4.6,13.07,6.64,13.15,13.7,0.3414,3.7,0
V02981,passenger,12,6.9,7.06,17.11,9.21,10.51,2.99,0.1057,15.32,0
V02982,container,8,12.04,2.02,7.24,7.87,6.21,12.35,0.7455,5.11,0
V02983,tanker,9,9.96,4.89,3.95,4.49,20.63,6.92,0.4198,0.24,0
V02984,cargo,1,7.43,1.04,2.66,5.62,5.8,4.27,0.5824,0.88,0
V02985,tanker,4,8.22,1.61,5.24,8.14,1.88,3.99,0.7159,12.43,0
V02986,container,6,19.05,12.79,14.07,4.06,19.01,8.48,0.3563,2.06,0
V02987,passenger,9,9.85,3.47,2.53,8.71,4.7,9.52,0.2326,2.54,0
V02988,container,7,5.82,5.51,32.32,9.59,6.16,11.08,0.7408,4.77,0
V02989,tanker,5,5.64,8.75,15.04,7.8,1.44,13.97,0.1957,0.47,0
V02990,container,7,12.38,1.22,10.22,7.44,4.6,9.82,0.3501,7.31,0
V02991,container,10,18.39,4.41,3.79,6.14,3.35,11.7,0.9079,4.29,0
V02992,cargo,9,13.72,1.46,4.76,3.74,2.76,6.33,0.7853,1.64,0
V02993,cargo,10,10.4,2.26,8.28,9.21,10.11,3.28,0.8974,9.59,0
V02994,tanker,8,18.08,10.37,16.03,8.39,3.66,13.17,0.6837,2.03,1
V02995,container,3,12.96,0.71,9.46,3.97,8.45,10.34,0.7655,0.01,0
V02996,container,3,6.51,6.85,10.37,3.3,4.03,12.12,0.6913,11.19,0
V02997,cargo,3,10.95,6.23,5.1,6.93,4.37,7.47,0.4853,18.04,0
V02998,passenger,8,12.7,2.73,4.96,5.56,4.52,7.34,0.2874,5.81,0
V02999,passenger,9,16.55,8.65,6.66,7.81,8.08,5.3,0.2627,8.5,0
V03000,tanker,11,10.73,0.92,50.05,4.55,4.34,7.98,0.4054,1.75,0
V03001,cargo,7,7.87,8.13,4.47,10.04,5.85,9.16,0.581,0.71,0
V03002,cargo,7,11.23,5.46,14.67,7.86,6.05,11.27,0.2084,0.03,0
V03003,tanker,1,10.65,2.64,6.94,5.51,8.08,9.73,0.5584,3.5,0
V03004,cargo,1,19.77,1.35,1.32,8.78,6.49,8.95,0.8256,2.71,0
V03005,cargo,1,17.57,16.88,5.16,7.51,0.69,4.69,0.9134,0.67,0
V03006,tanker,11,13.05,8.24,9.05,5.63,3.74,5.59,0.7689,2.62,0
V03007,cargo,1,10.18,16.74,7.46,5.57,5.77,7.81,0.2481,5.21,1
V03008,container,4,5.69,12.42,11.88,8.52,8.08,8.38,0.7491,8.51,0
V03009,cargo,12,7.28,2.14,16.65,4.04,13.35,12.91,0.5473,2.5,0
V03010,container,3,14.69,0.51,17.19,8.84,24.48,10.59,0.4252,3.25,0
V03011,cargo,10,13.19,7.13,7.67,7.77,11.32,13.6,0.5583,7.31,0
V03012,container,10,13.58,11.72,7.47,9.3,5.02,13.0,0.4506,2.26,0
V03013,cargo,2,13.0,4.47,6.72,8.71,4.95,5.99,0.1281,1.85,1
V03014,tanker,7,8.94,2.82,4.49,7.72,6.25,5.31,0.683,0.78,0
V03015,cargo,3,9.85,4.54,11.11,6.27,14.22,8.28,0.1682,0.98,1
V03016,passenger,3,14.72,0.53,24.79,7.8,10.72,4.42,0.4468,11.65,1
V03017,passenger,12,9.79,11.12,18.0,6.75,7.62,7.94,0.8093,3.38,1
V03018,cargo,11,9.22,1.3,2.13,7.04,2.44,14.84,0.7734,5.29,0
V03019,cargo,10,8.61,2.08,10.95,8.31,2.31,4.3,0.2688,1.43,0
V03020,container,12,17.28,2.51,7.42,5.81,13.15,9.21,0.362,5.98,0
V03021,container,5,12.68,4.11,2.82,5.15,6.02,4.3,0.3695,1.29,0
V03022,cargo,10,12.56,1.77,7.22,7.42,15.87,11.47,0.3263,9.52,0
V03023,cargo,5,5.45,8.66,8.52,6.5,5.79,8.56,0.3449,0.86,1
V03024,cargo,6,11.68,11.98,6.54,8.53,25.58,7.32,0.8712,14.29,0
V03025,container,10,9.91,14.71,22.65,6.46,6.12,11.32,0.5401,2.0,0
V03026,cargo,4,11.84,4.26,9.43,5.37,3.84,0.3,0.1701,4.34,0
V03027,cargo,3,10.89,6.54,2.23,7.65,5.83,11.71,0.7753,10.57,0
V03028,cargo,7,13.12,2.35,5.71,5.51,7.49,5.24,0.3728,3.17,0
V03029,container,9,11.22,12.18,15.04,7.64,2.24,7.08,0.4801,7.49,0
V03030,cargo,4,9.16,8.02,3.59,8.6,14.03,4.97,0.6868,13.61,0
V03031,container,5,3.32,1.66,5.9,9.71,12.56,5.61,0.2969,1.24,0
V03032,cargo,5,15.54,7.12,2.73,5.78,3.28,5.53,0.6492,6.71,1
V03033,cargo,8,12.71,1.73,9.91,8.2,6.86,10.92,0.3067,7.91,0
V03034,cargo,4,15.21,4.13,10.09,6.8,3.55,12.99,0.6538,3.84,0
V03035,cargo,10,8.7,7.53,5.05,8.37,13.11,13.0,0.241,4.78,0
V03036,cargo,3,14.47,2.92,8.89,9.9,3.43,2.71,0.7268,0.04,0
V03037,container,5,12.46,8.54,19.5,5.74,11.84,0.45,0.2666,0.83,1
V03038,passenger,5,16.61,5.38,24.03,8.58,15.48,2.39,0.3629,4.16,0
V03039,container,6,9.3,1.36,8.38,7.52,10.59,13.18,0.4011,8.14,0
V03040,tanker,6,10.55,4.85,2.73,6.15,3.68,7.12,0.9016,2.53,0
V03041,cargo,10,5.87,4.26,9.08,7.28,11.07,11.15,0.7255,5.42,0
V03042,tanker,7,8.93,6.62,8.04,5.92,14.93,12.31,0.5131,0.25,1
V03043,container,8,6.85,0.41,12.59,7.02,3.32,10.44,0.5606,0.92,0
V03044,container,8,11.69,2.92,6.8,10.77,16.98,8.49,0.2591,4.11,0
V03045,container,6,9.21,3.7,7.08,6.12,7.65,6.61,0.7399,0.37,0
V03046,cargo,6,10.85,13.09,4.63,4.17,2.45,6.54,0.3902,0.79,0
V03047,passenger,8,6.49,12.57,6.3,4.99,4.26,9.38,0.5558,4.87,0
V03048,passenger,6,16.44,11.09,40.91,9.46,4.1,9.16,0.7903,8.72,1
V03049,cargo,9,13.41,10.58,5.63,9.34,3.27,8.95,0.0406,6.13,0
V03050,cargo,10,6.17,4.54,16.06,8.05,3.21,3.57,0.7059,8.72,1
V03051,cargo,3,9.2,4.25,6.67,9.73,4.1,10.96,0.7986,10.42,0
V03052,tanker,6,11.44,0.17,8.25,8.38,13.09,6.68,0.4037,1.05,0
V03053,container,6,9.66,13.7,8.4,8.24,8.93,11.7,0.9141,2.3,0
V03054,cargo,5,18.59,2.08,2.35,9.49,13.04,7.25,0.5435,0.16,0
V03055,passenger,5,10.7,8.79,5.68,7.15,1.67,6.16,0.6188,2.63,0
V03056,container,7,7.57,5.01,3.67,8.91,7.31,7.27,0.5169,3.39,0
V03057,container,1,12.19,4.15,6.3,8.41,5.22,8.36,0.4101,0.95,0
V03058,passenger,7,10.41,0.63,5.59,7.62,26.51,12.4,0.3294,5.03,0
V03059,cargo,2,10.45,10.49,6.55,5.37,6.4,10.68,0.8816,5.68,0
V03060,cargo,8,14.61,3.38,9.47,9.61,4.87,10.78,0.7346,4.25,0
V03061,passenger,6,12.33,7.45,2.26,8.21,25.97,7.47,0.3369,2.72,1
V03062,cargo,2,9.27,3.85,4.53,8.29,5.66,5.01,0.429,0.12,0
V03063,container,3,8.86,0.96,10.94,6.42,5.01,12.36,0.2502,1.42,0
V03064,cargo,6,11.14,2.59,14.37,4.4,9.09,7.19,0.4321,6.95,0
V03065,container,8,11.45,5.24,6.53,8.16,6.55,11.78,0.7452,2.48,0
V03066,cargo,9,11.27,2.92,20.28,5.09,5.88,9.9,0.5203,0.16,1
V03067,tanker,8,6.14,4.51,10.33,10.35,12.67,7.82,0.3617,1.3,0
V03068,container,3,12.14,0.79,1.8,8.16,0.64,3.68,0.168,3.52,0
V03069,cargo,4,19.95,1.78,9.13,7.51,6.31,9.37,0.6452,2.18,0
V03070,tanker,1,5.95,3.72,16.42,4.16,9.76,6.62,0.429,5.94,0
V03071,cargo,9,13.46,1.77,6.84,4.73,9.28,13.2,0.1481,16.06,0
V03072,cargo,11,14.14,3.67,8.33,8.53,6.02,4.27,0.142,4.67,0
V03073,tanker,5,7.43,7.84,7.09,6.57,13.99,5.14,0.4546,0.21,0
V03074,cargo,11,10.03,1.12,6.69,9.1,16.5,9.33,0.3685,2.48,0
V03075,cargo,10,21.64,8.87,14.36,6.68,6.59,8.46,0.9492,6.41,0
V03076,cargo,9,9.36,1.13,10.2,7.26,4.94,9.12,0.634,6.43,0
V03077,cargo,4,3.66,6.06,35.75,8.71,3.28,6.26,0.914,8.15,0
V03078,tanker,2,12.85,9.81,11.77,10.3,16.99,8.11,0.3306,0.55,0
V03079,tanker,4,15.37,1.96,5.01,10.19,8.53,4.86,0.5553,4.86,0
V03080,container,12,12.96,8.8,6.6,7.54,1.5,2.93,0.6424,0.45,0
V03081,tanker,3,9.42,6.53,6.91,10.0,4.37,12.19,0.4042,3.11,0
V03082,tanker,9,12.7,10.68,2.66,1.94,3.7,6.2,0.1445,2.26,1
V03083,cargo,5,12.87,0.8,2.34,4.86,11.7,9.93,0.7619,1.54,1
V03084,container,4,13.91,0.42,22.15,11.65,7.26,8.9,0.4954,6.63,0
V03085,passenger,1,14.88,4.81,6.73,10.44,6.17,13.45,0.5611,1.87,0
V03086,cargo,9,11.53,6.97,22.84,9.2,4.17,7.54,0.4108,9.49,0
V03087,cargo,8,10.28,6.82,26.45,4.92,19.56,8.2,0.4873,4.07,0
V03088,cargo,10,4.73,1.9,4.39,5.88,7.98,6.18,0.174,1.0,0
V03089,container,5,13.51,0.82,41.27,9.94,4.13,7.49,0.4334,0.69,0
V03090,tanker,3,9.27,0.79,11.9,4.79,14.38,7.11,0.4603,1.83,0
V03091,tanker,7,8.64,2.06,10.41,8.39,2.85,11.09,0.6956,3.38,0
V03092,container,12,12.19,3.09,3.2,10.19,5.45,7.92,0.843,0.94,0
V03093,container,1,15.53,2.38,4.01,4.51,22.4,9.62,0.3271,1.52,0
V03094,tanker,3,12.26,1.46,6.2,6.08,10.48,8.88,0.2254,3.85,0
V03095,cargo,12,18.33,6.43,3.54,5.32,2.79,12.79,0.4328,1.13,0
